date;open;high;low;close;volume
20140520;000000;182.4000000;182.4000000;182.4000000;182.4000000;0
20140521;000000;182.3000000;182.3000000;182.3000000;182.3000000;0
20140522;000000;182.6500000;182.6500000;182.6500000;182.6500000;0
20140523;000000;182.8500000;182.8500000;182.8500000;182.8500000;0
20140525;000000;182.8500000;182.8500000;182.8500000;182.8500000;0
20140526;000000;183.1500000;183.1500000;183.1500000;183.1500000;0
20140527;000000;182.8500000;184.5500000;182.8500000;184.5500000;0
20140529;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140530;000000;183.3200000;183.3200000;183.3200000;183.3200000;0
20140601;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140603;000000;183.4800000;183.5000000;183.4800000;183.5000000;0
20140604;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140606;000000;183.3300000;183.3300000;183.3300000;183.3300000;0
20140609;000000;183.3300000;183.3300000;183.3300000;183.3300000;0
20140610;000000;183.3500000;183.3500000;183.3500000;183.3500000;0
20140611;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140612;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140613;000000;183.5000000;183.5000000;183.4800000;183.4800000;0
20140616;000000;183.4800000;183.4800000;183.4800000;183.4800000;0
20140618;000000;183.4000000;183.4000000;183.4000000;183.4000000;0
20140619;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140623;000000;183.3000000;183.4800000;183.2500000;183.2500000;0
20140624;000000;183.3000000;183.4500000;183.3000000;183.4500000;0
20140625;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140626;000000;183.4500000;183.4500000;183.4500000;183.4500000;0
20140627;000000;183.3800000;183.3800000;183.3800000;183.3800000;0
20140629;000000;183.3800000;183.3800000;183.3800000;183.3800000;0
20140630;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140702;000000;183.3300000;183.3800000;183.3300000;183.3800000;0
20140703;000000;183.5400000;183.5400000;183.5400000;183.5400000;0
20140704;000000;183.5400000;183.5400000;183.5400000;183.5400000;0
20140707;000000;183.5400000;183.5400000;183.3000000;183.3000000;0
20140708;000000;183.3500000;183.3500000;183.3500000;183.3500000;0
20140710;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140714;000000;183.3300000;183.3500000;183.3300000;183.3500000;0
20140716;000000;183.3100000;183.3100000;183.3100000;183.3100000;0
20140718;000000;183.5000000;183.5000000;183.5000000;183.5000000;0
20140720;000000;183.5000000;183.5000000;183.5000000;183.5000000;0
20140721;000000;183.3500000;183.3500000;183.3500000;183.3500000;0
20140722;000000;183.5000000;183.5000000;183.3500000;183.3500000;0
20140723;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140725;000000;183.3800000;183.3800000;183.3800000;183.3800000;0
20140728;000000;183.3500000;183.3500000;183.3500000;183.3500000;0
20140729;000000;183.3000000;183.3000000;183.3000000;183.3000000;0
20140730;000000;183.3500000;183.3500000;183.3500000;183.3500000;0
20140731;000000;183.1000000;183.1000000;183.1000000;183.1000000;0
20140801;000000;182.3000000;182.3000000;182.3000000;182.3000000;0
20140804;000000;181.9000000;181.9000000;181.9000000;181.9000000;0
20140805;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140809;000000;181.8500000;181.8500000;181.8500000;181.8500000;0
20140811;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140813;000000;181.8200000;181.8200000;181.8200000;181.8200000;0
20140814;000000;181.8000000;181.8000000;181.8000000;181.8000000;0
20140815;000000;181.8200000;181.8200000;181.8200000;181.8200000;0
20140818;000000;181.8200000;182.0000000;181.8200000;182.0000000;0
20140819;000000;182.0000000;182.0000000;182.0000000;182.0000000;0
20140820;000000;181.8300000;181.8300000;181.8300000;181.8300000;0
20140821;000000;181.8300000;181.8300000;181.8300000;181.8300000;0
20140822;000000;181.8300000;181.8300000;181.8000000;181.8000000;0
